Nodo,Degree_centrality,Tipo,Telemetria_saliente,Telemetria_entrante,Telemetria_total,Dataset,Betweenness
4.0,0.5357142857142857,Source,127,0,127,AGRO,0.0
14.0,0.5357142857142857,Source,144,0,144,AGRO,0.0
13.0,0.5357142857142857,Source,152,0,152,AGRO,0.0
5.0,0.5357142857142857,Source,149,0,149,AGRO,0.0
8.0,0.5357142857142857,Source,153,0,153,AGRO,0.0
12.0,0.5357142857142857,Source,142,0,142,AGRO,0.0
6.0,0.5357142857142857,Source,150,0,150,AGRO,0.0
3.0,0.5357142857142857,Source,127,0,127,AGRO,0.0
9.0,0.5357142857142857,Source,152,0,152,AGRO,0.0
10.0,0.5357142857142857,Source,172,0,172,AGRO,0.0
11.0,0.5357142857142857,Source,141,0,141,AGRO,0.0
2.0,0.5357142857142857,Source,120,0,120,AGRO,0.0
7.0,0.5357142857142857,Source,148,0,148,AGRO,0.0
1.0,0.5357142857142857,Source,123,0,123,AGRO,0.0
26.0,0.5,Target,0,145,145,AGRO,0.0
18.0,0.5,Target,0,129,129,AGRO,0.0
22.0,0.5,Target,0,125,125,AGRO,0.0
21.0,0.5,Target,0,142,142,AGRO,0.0
17.0,0.5,Target,0,132,132,AGRO,0.0
25.0,0.5,Target,0,162,162,AGRO,0.0
20.0,0.5,Target,0,129,129,AGRO,0.0
27.0,0.5,Target,0,140,140,AGRO,0.0
29.0,0.5,Target,0,149,149,AGRO,0.0
24.0,0.5,Target,0,118,118,AGRO,0.0
16.0,0.5,Target,0,129,129,AGRO,0.0
23.0,0.5,Target,0,116,116,AGRO,0.0
19.0,0.5,Target,0,138,138,AGRO,0.0
15.0,0.5,Target,0,117,117,AGRO,0.0
28.0,0.5,Target,0,129,129,AGRO,0.0
119.0,0.7101449275362319,Source,120,0,120,ENER,0.0
103.0,0.6811594202898551,Source,114,0,114,ENER,0.0
105.0,0.6666666666666666,Source,112,0,112,ENER,0.0
112.0,0.6666666666666666,Source,108,0,108,ENER,0.0
110.0,0.6521739130434783,Source,87,0,87,ENER,0.0
114.0,0.6376811594202899,Source,103,0,103,ENER,0.0
104.0,0.6376811594202899,Source,101,0,101,ENER,0.0
101.0,0.6376811594202899,Source,89,0,89,ENER,0.0
115.0,0.6376811594202899,Source,101,0,101,ENER,0.0
118.0,0.6231884057971014,Source,89,0,89,ENER,0.0
106.0,0.6231884057971014,Source,96,0,96,ENER,0.0
111.0,0.6231884057971014,Source,106,0,106,ENER,0.0
113.0,0.6231884057971014,Source,101,0,101,ENER,0.0
116.0,0.6086956521739131,Source,108,0,108,ENER,0.0
117.0,0.5942028985507246,Source,94,0,94,ENER,0.0
107.0,0.5942028985507246,Source,87,0,87,ENER,0.0
108.0,0.5942028985507246,Source,97,0,97,ENER,0.0
109.0,0.5797101449275363,Source,95,0,95,ENER,0.0
100.0,0.5797101449275363,Source,106,0,106,ENER,0.0
102.0,0.5652173913043478,Source,86,0,86,ENER,0.0
202.0,0.2898550724637681,Target,0,41,41,ENER,0.0
238.0,0.2753623188405797,Target,0,47,47,ENER,0.0
211.0,0.2753623188405797,Target,0,49,49,ENER,0.0
218.0,0.2753623188405797,Target,0,46,46,ENER,0.0
222.0,0.2753623188405797,Target,0,39,39,ENER,0.0
245.0,0.2753623188405797,Target,0,41,41,ENER,0.0
209.0,0.2753623188405797,Target,0,49,49,ENER,0.0
225.0,0.2753623188405797,Target,0,44,44,ENER,0.0
227.0,0.2753623188405797,Target,0,39,39,ENER,0.0
240.0,0.2753623188405797,Target,0,41,41,ENER,0.0
226.0,0.2753623188405797,Target,0,45,45,ENER,0.0
207.0,0.2608695652173913,Target,0,48,48,ENER,0.0
244.0,0.2608695652173913,Target,0,47,47,ENER,0.0
233.0,0.2608695652173913,Target,0,54,54,ENER,0.0
228.0,0.2608695652173913,Target,0,46,46,ENER,0.0
212.0,0.2608695652173913,Target,0,41,41,ENER,0.0
242.0,0.2608695652173913,Target,0,42,42,ENER,0.0
230.0,0.2608695652173913,Target,0,41,41,ENER,0.0
221.0,0.2608695652173913,Target,0,42,42,ENER,0.0
220.0,0.2608695652173913,Target,0,47,47,ENER,0.0
205.0,0.2608695652173913,Target,0,32,32,ENER,0.0
200.0,0.2608695652173913,Target,0,29,29,ENER,0.0
204.0,0.2608695652173913,Target,0,35,35,ENER,0.0
239.0,0.2608695652173913,Target,0,46,46,ENER,0.0
210.0,0.2608695652173913,Target,0,42,42,ENER,0.0
246.0,0.2608695652173913,Target,0,38,38,ENER,0.0
217.0,0.2463768115942029,Target,0,34,34,ENER,0.0
229.0,0.2463768115942029,Target,0,34,34,ENER,0.0
216.0,0.2463768115942029,Target,0,39,39,ENER,0.0
243.0,0.2463768115942029,Target,0,48,48,ENER,0.0
236.0,0.2463768115942029,Target,0,36,36,ENER,0.0
206.0,0.2463768115942029,Target,0,46,46,ENER,0.0
237.0,0.2463768115942029,Target,0,45,45,ENER,0.0
219.0,0.2463768115942029,Target,0,38,38,ENER,0.0
241.0,0.2318840579710145,Target,0,35,35,ENER,0.0
234.0,0.2318840579710145,Target,0,32,32,ENER,0.0
208.0,0.2318840579710145,Target,0,34,34,ENER,0.0
214.0,0.2318840579710145,Target,0,27,27,ENER,0.0
224.0,0.2318840579710145,Target,0,29,29,ENER,0.0
223.0,0.2318840579710145,Target,0,40,40,ENER,0.0
